PY,PT,PG,Have_Funding_Agency,Author_count,Funding_agency_count,Squeezed_Publisher,Contain_Top_All_authors,Contain_Top_All_funding_agencies,Count_of_top_funding_agency,Contain_Top_PU
2000.0,J,6,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,3,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,13,0,4,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,9,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,6,0,3,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,10,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,20,0,9,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,16,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,6,0,5,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,11,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,5,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,16,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,9,0,WILEY,0.0,0.0,0,1.0
2000.0,J,12,0,9,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,30,1,5,2,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,4,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,4,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,10,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,6,0,WILEY,0.0,0.0,0,1.0
2000.0,J,6,0,5,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,11,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,12,0,6,0,WILEY,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,0,7,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,4,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,8,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,3,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,8,0,1,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,11,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,16,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,6,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,12,1,3,2,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,8,0,9,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,10,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,13,0,7,0,WILEY,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,0,5,0,WILEY,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,WILEY,0.0,0.0,0,1.0
2000.0,J,10,0,3,0,WILEY,0.0,0.0,0,1.0
2000.0,J,10,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,1,2,1,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,1,3,1,WILEY,0.0,0.0,0,1.0
2000.0,J,8,1,3,1,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,0,5,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,5,0,2,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,7,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,7,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,9,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,13,0,6,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,6,0,8,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,13,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,18,0,2,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,8,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,12,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,5,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,7,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,2,0,1,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,10,0,2,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,4,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,1,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,1,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,7,0,2,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,6,0,3,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,1,0,3,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,4,0,8,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,60,0,1,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,4,0,3,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,4,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,9,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,11,0,7,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,10,0,8,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,7,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,10,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,6,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,7,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,6,0,2,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,8,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,2,0,2,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,17,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,11,0,2,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,2,0,WILEY,0.0,0.0,0,1.0
2000.0,J,10,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,5,0,5,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,8,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,3,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,2,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,1,5,1,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,9,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,14,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,12,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,11,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,7,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,7,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,6,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,5,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,15,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,12,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,15,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,1,3,1,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,10,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,14,0,1,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,6,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,11,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,6,0,3,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,9,0,1,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,10,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,12,0,3,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,7,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,10,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,11,0,4,0,WILEY,0.0,0.0,0,1.0
2000.0,J,8,0,1,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,11,1,2,1,Other Publishers,0.0,0.0,0,1.0
2000.0,J,12,0,7,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,10,1,5,2,Other Publishers,0.0,0.0,0,1.0
2000.0,J,8,0,8,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,6,0,7,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,7,0,8,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,6,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,3,0,2,0,ROYAL SOC CHEMISTRY,0.0,0.0,0,0.0
2000.0,J,3,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,8,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,8,0,3,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,14,0,7,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,6,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,14,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,6,1,7,1,Other Publishers,0.0,0.0,0,0.0
2000.0,J,12,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,8,0,5,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,10,0,2,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,6,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,3,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,10,0,2,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,14,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,4,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,17,0,5,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,5,0,8,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,0,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,3,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,2,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,11,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,6,0,5,0,WILEY,0.0,0.0,0,1.0
2000.0,J,7,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,1,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,1,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,3,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,8,0,4,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,9,0,6,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,20,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,11,0,3,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,7,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,6,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,3,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,11,0,4,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,12,0,9,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,15,0,7,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,13,0,8,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,6,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,17,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,15,0,1,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,9,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,5,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,5,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,9,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,11,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,2,0,WILEY,0.0,0.0,0,1.0
2000.0,J,5,0,2,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
2000.0,J,18,0,13,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,7,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,3,0,6,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,2,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,10,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,3,0,7,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,4,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,1,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,5,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,1,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,5,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,1,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,2,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,1,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,5,0,4,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,4,0,3,0,WILEY-V C H VERLAG GMBH,0.0,0.0,0,0.0
2000.0,J,1,0,1,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,1,0,5,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,13,1,2,1,WILEY,0.0,0.0,0,1.0
2000.0,J,12,0,3,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,1,4,1,WILEY,0.0,0.0,0,1.0
2000.0,J,9,1,4,1,WILEY,0.0,0.0,0,1.0
2000.0,J,9,0,5,0,ELSEVIER SCIENCE SA,0.0,0.0,0,0.0
2000.0,J,25,0,2,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,6,0,2,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,7,0,5,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,7,0,6,0,WILEY,0.0,0.0,0,1.0
2000.0,J,5,0,6,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,1,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,1,2,1,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,8,0,6,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,10,0,3,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,10,0,4,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
2000.0,J,10,1,2,2,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,10,1,3,1,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,7,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,10,1,5,1,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,13,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,10,0,6,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
2000.0,J,8,0,6,0,SPRINGER,0.0,0.0,0,1.0
2000.0,J,5,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,23,0,5,0,PERGAMON-ELSEVIER SCIENCE LTD,0.0,0.0,0,1.0
2000.0,J,7,0,11,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,3,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,8,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,9,0,2,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
2000.0,J,10,0,2,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,8,0,2,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,9,0,4,0,Other Publishers,0.0,0.0,0,1.0
2000.0,J,1,0,1,0,Other Publishers,0.0,0.0,0,0.0
